,rating,teks_setelah_prep
0,1,bima
1,1,layar gar
2,1,cicil pakai yacc
3,1,kirim barang sesuai janji express jumat barang rabu moga barang awet
4,1,televisi led merek sharp hitam lc lei mati total mana hubung bantu mohon bijak solusi garansi lazada mohon bantu terimakasih
5,1,capek transfer pesan tolak
6,1,laptop milik spesifikasi bagus harga jangkau tab spesifikasi utama produk emang intel core i salah judul core i
7,1,barang pas dinyalain tanggung lazada
8,1,pasang tembok lazada memasanga terima kasih
9,1,kapasitasy bagusss aturany kosong bnyakkk firusss nieh bnyakkk firusss kecewe
10,1,kampret baca
11,1,barang kemas lindung apa dus televisi lihat dus sobek curiga kayak pecah eeeeellllaaaa pas buka pecah beneran bad jual bener bener bad jual untung peduli produk untung n pelit paking ya jual barang retur mudah mudah barang cepat kirim d
12,1,beli disiniparah bangetbarang mi ggu alesan nya ganggu lain
13,1,hati hati televisi pakai usb
14,1,spek ram gb gb
15,1,juragan saran berhatihati beli flashdisk kirim flashdisk rekondisi daur ulang bekas tipu harga mas dosa mas bohong flashdisknya tulis nama aryo sengaja hapus bersih file kirim flashdisk error makan duit haram mas kenyang berkah
16,1,palsu
17,1,korup copy fdmengecewakan
18,1,cicil
19,1,barang terimapihak lazada bilang sidah terima cek jne lhoksukon aceh utara barang adaada tigas ramah solusk email cs jne cs lazada reapon nasih barang harga jt an
20,1,nih lazada lihat iklan flashdisk kirim koq flashdrivemohon penjelasannyabarang bukasaya br x kecewa
21,1,barang ko ya alamat bener cek situs jnenya alamat tuju salah mohon periksa beli barang bebarengan beli barang
22,1,flashdisk gb isi cm gbgk pakai
23,1,fungsi simpan data
24,1,barang hitamyg putih pakai
25,1,kirim warna putih hitam
26,1,pesan sesuai kirim warna pesan hitam dikirm putih pakai labtop anak tidah yah
27,1,flashdisk dicopy file baca beli tipu garansi hati hati beli
28,1,barang kota minggubkemudian cek barang muncul bungkus tulis toshiba kapasitas gb flashdisk tulis gb coba kopi file gagal hasil kopi buka produk gagal buat oem asalasalan jual murah toko lanjur beli usaha jual
29,1,rusak pakai kapok
30,1,pakai
31,1,barang
32,1,produk harap kecewa
33,1,dapet nya warna biru
34,1,pesan uang d transfer barng
35,1,cicil cranya yah
36,1,kurang ya biar
37,1,bayar
38,1,ya
39,1,tulis khusus jabodetabektp sedia diwilyah lampung beli dicancel luar daerah dtulis sedia diwilanda
40,1,kiri kota blitar
41,1,televisi nya alhamdulillah amin
42,1,virus shortcut
43,1,pakai crashed jatuh
44,1,my passport my passport ultra tulis deskripsi bener ya
45,1,sesuai gambar
46,1,kali cicilanmaksudnya yapersyaratan kredit ya
47,1,minggu barang nyampeorder tanggal april status pesan prosesgmana ni lazada
48,1,mohon bantu nya barang bom tunggu kunjung mohon perhati terima kasih
49,1,simpan data
50,1,nyimpan film data
51,1,kembaliin produk televisi ichico by kemarin psen pas rumah gambar ny suarany
52,1,usb nya cm pormalitas d gunakn
53,1,pesan sayadi batal
54,1,kecewa banget sih tranfer batalin barang nya sih lazada
55,1,dd
56,1,flashdisk nya cepat rusak nyimpan film ni
57,1,os isi pakai os menang juragan
58,1,pesan mostnya dikasihsaya rugi
59,1,pesan notifikasi akun barang bom terima kirim pakai gojek tolong cek
60,1,televisi mati
61,1,minat orderpesan barang kamiuntuk sila add whatsappwa langsung resseller tokopengirima free ongkir indonesiaterimah kasih
62,1,minat orderpesan barang silah add whatsappwa langsung reseller tokoterimah kasih
63,1,pesan agustus kode voc d pakai ni tangan mkcy
64,1,cicil syarat y ap
65,1,windows kirim produk windows bawah kami coba masuk windows kembali dana produk sesuai harap
66,1,baca ulas ragu beli barang kaya ginitakut rusak pengirimantakut d kirim kirimsebenarnya sih beli d lazadaselama sih oke oke ajatolong lazada kecewain pelangganklo keluh cepat respon
67,1,paaaaaaarah
68,1,liatliat om
69,1,barang bagus keroscek mes hardist chasing salah terimakasih
70,1,barang fungsi
71,1,hardist bukn
72,1,kesingdoang
73,1,tunggu kemarin
74,1,juragan har ko nyampek barang
75,1,nama jaya fajarot
76,1,pakai beli
77,1,barang nya baca laptop
78,1,tampil bagus tapingk deteksi laptop
79,1,nya external hd terima kotak kosong
80,1,uang kembali
81,1,wadah exten
82,1,maaf mas kirim maaf
83,1,beli juragan
84,1,serius juragan tb
85,1,pakai rusak mati charge youtube
86,1,barang jelek tipu
87,1,mahal banget duitttt
88,1,dagang tipu bilang usb tau usb harga mahal
89,1,kabel ny rusak
90,1,dapet kabel case hiks
91,1,bahagia bangat barang dicolokin pc hardisknya kedetect kabel bawa kabel cabang minjam kabel teman
92,1,barang telat voucher antivirus expired tanggung jawab
93,1,enak tuh belanja lazada beli cari untung lazada gampang beli barang biji beli terima komplain bilang terima tinggal foto biji produk umpetin percaya jamin duit barang anggap kirim gara merchant nama aneka perdana beli enam kirim komplain foto percaya foto kemas beli barang mahal banget akalakalan barang murah harga percaya lihat transaksi tahu ah pokok cari untung lazada ikut atas jamin hasil komplain lazada kiki nomor komplain nama merchant aneka perdana bulan gantung terima kasih lazada kalah rekor komet ya komplainya timbang sob mudahmudahan manfaat
94,1,barang sampaipaket rapi kemarin misi kemarin antar pakai gojeg rubah pakai kirim biasatanpa konfirmasimungkin masuk oke
95,1,minggu
96,1,produk serta kartu garansi invoice produk garansi
97,1,produk terima mohon ganti
98,1,jual kasih garansi nih bisa asus tahunjadi ragu beli
