,rating,teks_setelah_prep
0,1,flashdisk pakai isi file file nya baca kosong isi
1,1,saking bagus minggu pakai flashdisk nya detect laptop
2,1,alhamdulillah laptop terima kondisi normal
3,1,barang sesuai pesan pesan pesan tipe beda tipe
4,1,kapasitas format hapus file hati garansi
5,1,kirim dibatalin
6,1,kecewa flashdisknya korup transfer data
7,1,kecewa sihbnyk virus
8,1,nyimpan video nyimpan data suka hilang
9,1,psnan cepat banget nyabr kemarin psn dtgtp full gunainotg nya kacau
10,1,fungsi nih tolong retur
11,1,tukar
12,1,cepat rusak
13,1,barang rusakkkk pakai kali beli lazada sesal
14,1,maaf ya mas jual tuh bener ah flashdisk nya pakai ya
15,1,respon sam sekalimubazir pakai
16,1,beli kirim sih parah fungsi
17,1,status kirim barang
18,1,tolol orang barang bilang kirim dasar dongo tolol emang boongin
19,1,alhamdulillah fungsi haritrus pas nyimpan baca filenya bijimane nih
20,1,confirmasinya pakai k kredit
21,1,bonus sesuai tera katalog body warna putih kasih item respon katalog toshiba canvio ready kirim canvio basic kabel konektor nya beda beli toko colok body hardisk susah cabut
22,1,kog ciuma gb gb
23,1,isi gb hadeh
24,1,nya penuh pesan nama toko nya lazada pesan lazada nyampai cepat pesan tanggal agustus rabu malam nyampai tangan tanggal agustus jumat lazada tangan senin malam lewat moga tingkat efisiensi nya
25,1,mahal cancel bayar kirim malas belanja lazada mending belanja bukalapak murah ribet menang bayar kirim lazada
26,1,real gb gb
27,1,pesan flash disk giga kirim giga juragan
28,1,barang fungsi return
29,1,credit
30,1,jaman jual fd m ente cari duit nempel nih iklan blow up mesos media cetak
31,1,edisi salah bacasaya gb mbsangat kecewa
32,1,salah lihat deh gb mbak
33,1,emang mbak gigabyte ya syukuuurin
34,1,sesal salah lihat satu mega byte
35,1,not recomended
36,1,barang minggu mesan pas langsung coba file pindah flashdisk langsung rusak sua buka maaf jual bener rugi konsumen
37,1,barang pakai
38,1,file musik mp baca putar diplayer mobil
39,1,kirim cepat sayang barang sesuai handfree rusak flashdisk trtulis gb kirim gb alam buruk sayang lampu otg normal
40,1,pesan kirim
41,1,eject copy
42,1,dcoba
43,1,nyessel banget rusak parah
44,1,jelek
45,1,barang buka cacat lcd layar pecah parahsaya packing kayu penjuala bilang barang amanpihak jual bilang tanggung urus secepatnyadan barang kirim terimakasih
46,1,barang kirim pecah sulit claimgaransi
47,1,jelek virus nya komputer reset gara gara pakai flashdik
48,1,kecewaflash disk rusak kali copy file hilang flash disk baca port usb
49,1,barang colok new folder langsung loadingdan akses
50,1,display barang kali pesan barang sesuai
51,1,hati belanja lazada barang komplain kembali dana barang rusak kembali baranguntuk komplain barang pilih lapor cs live chat bantu bilang urus komplain barang tindak live chat jawabanya bantu order nomor barang dana refund paksa tulis mohon maaf yaa
52,1,barang oke kirim
53,1,hdd rusak pakai tingkat kualitas controlnya barang dikrm
54,1,oke
55,1,kwkw mantap eror fulll hhhh
56,1,sesuai skripsi hilanga gb gb gb
57,1,kecewa file pindah dicopy internal kartu sd file langsung rusak baca berkas gagal buka
58,1,memori rusak jngan beli
59,1,kirim barang bonus handsfreenya
60,1,barang nyampek kirim rapi cepat tau kualitas nya kasih bintang ya
61,1,memori hensfri ea manah
62,1,pas produk sih oke selang deh data baca alias rusak cek mas mbak jual nya pasti beneran original tuh fd nya abal abal pakai rugi
63,1,usb flash led warna family bonus bonus
64,1,kecewa flashdisk d pakai simpan file bonus sesuai buruk nomor recomended
65,1,data corufvideo tampil foto samadimasukan data gb hilang
66,1,mindahin file hilang filenya ampas
67,1,mengecewakanbukan kabel data dikirm headset abal
68,1,nyimpan mp video payah
69,1,bonus sesuai tolong baik kerja
70,1,aduh kecewa save data
71,1,catalogtermasuk hands freetp
72,1,fdnya kualitas buruk sesal belanja giur harga murah barang murah
73,1,simpan file video ruang makan file muncul
74,1,brngny nympe pas buka sangattt kecewaa sesuai pesann kurngnya kabel usb sonk driver ide sonk pasti kecewa bgettt
75,1,sangaaaaaatttt buruk sangattttt kecewa pesan televisi panasonic kirim ny televisi coocaa beli dilazada bari kali buruk
76,1,kecewa nihmasa barang kena lcd nya garis hitamaneh bgtteam kualitas cek nya sehtv rusak dikiirim juga harga nya kalengklo return ganti televisi kevoucer
77,1,barang kirim isi sepatu
78,1,barang rusak file pindah flashdisk nya damage
79,1,kapok belanja tang acc
80,1,barang rusak pakai mohon kembali uangx
81,1,soundbarnya kirim batal pesan nominal dkembalikan cman sesuai uang segitu harga brgnya
82,1,kirim jne muas kirim barang kota tuju antar rumah ambil gudang saran lazada ganti partner kirim terima kasih
83,1,barang hancur total kam apa plastik buble lazada ttp hebat uang d refaund utuh
84,1,tanggal september nyala garis biru layar kwitansi kartu garansi terima
85,1,bagus televisi nya cacat alhandulillah
86,1,konek smart televisi ya
87,1,kirim lambat kecewa kali proses
88,1,kabel sesuai gambar masuk
89,1,feature scan chanel televisi fungsi
90,1,otg baca hp tau komputer return barang bingung
91,1,kecewa sesuai pesan polytron led seri pldd kirim seri pldd mohon jual teliti biar kecewa customer kembali tukar prosenya paksa terima
92,1,bonus free iring nya bolpoint bonus sesuai janji
93,1,bekas sih ko virus nya
94,1,bb
95,1,kapasitas gb baca gb file rusak proses kembali barang
96,1,flashdisk original
97,1,paket
98,1,nyimpan data kayak flaadish bekas ya kecewa belnja d lazada
99,1,produk kecewa fungsi
100,1,barang bosa pakai
101,1,barang nya sesuai pesan apabisa tukar sesuai pesan
102,1,beli kirim gb flasdisknya tolong jual jual jual jujur jual barang fungsi beli kecewa
103,1,kecewabarang kirim sesuaibarang rusak pakaimau retur nih
104,1,pesan gb produk kirim gb fungsi segel buka kecewa
105,1,belonya datang
106,1,bekassudah buka huh
107,1,kecewa headset nya bohong publik
108,1,beli isi tolong
109,1,barang flesdisk berfungsisy kembali barngx tolong kembali uang
110,1,free handset ya jual bener
111,1,fdnya korup masalah kirimulang
112,1,barang kau nihhh kesel pakai hari rusak baca datanyaa
113,1,data copy buka
114,1,layar cacat
115,1,kecewa banget layar pecahjadi kerja nih balikin jual
116,1,barang rumah selasa juni kirim pakai peti kemas bungkus kardus televisi plus plastik bayar ongkos kirim televisi led mahal riskan woy bener kirim pakai peti kemas barang buka televisi nya coba nyala led nya rusak nyala tampil layar kebenturbentur barang remote televisi nya on off ya televisi led nya nyala jual bener
117,1,barang kirim rusak panel televisi nya retak how come lazada ecek barang kirim kecewa plus proses kembali ribet televisi gede misti bawa kantor pos solusi customer bikin susah sesal belanja
118,1,android televisi asa tipu dikirm televisi nya cacat pabrik kaca televisi bercak hitam senti enak banget beli televisi cacat
119,1,pas d a dvdroom bilang adafoto produk beda aslidfoto dvdroom blanja online produk speknya valid ya
120,1,pas flash disk ujung ny c i phone
121,1,tvnya mati total nyalasaya retur
122,1,pas dinyalahin langsung muncul bios cncel kembali barang tukar unit kembali dana
123,1,judul memori ram gb detil fakta gb jebak batman beli terima nyata ram gb
124,1,layar lcd cacat cahaya kuning
125,1,pesan tanggal des terima tanggal des
126,1,barang mati kembali barang
127,1,produk sesuai kasih tau garansi kran prosesor lot jlm putar retur ganti
128,1,windowsnya suka booting
129,1,flash disk an jual kecewa kali beli flash disk lazada pakai mending beli merk kau pakai
130,1,plasdis ko virus d buka kecewa
131,1,sesuai gambar skripsi
132,1,kecewa
133,1,mending lazada tutup nih akun jual ginijual barang rusakcape deh
134,1,kecewa
135,1,gambar flash disk merek toshibabegitu barang merek sandisksaya pikir bagussaya coba televisi mobil filetrus masuk laptop filehanya tera kapsitas free off brarti kosongtolong penjelasanyaterima kasih
136,1,kecewa sdkiy x video nya ratus mp laguny lagu anak lagu anak islami bgusan video tube bli mahal
137,1,fleshdisk kau jual fungsi pakai simpan data fleshdisk nya puas beli jalan buang
138,1,paket dkirim cepat kemas rapih cacat sayang barang sampah baca komputer laptop
139,1,kirim batrai sesuai realita kecewa
140,1,lagu putar
141,1,cepat rusak
142,1,corup daa cop data hilang
143,1,kecewa
144,1,beli nyimpen file corupt
145,1,barng ny jelek masukn dat eh dat ny reset
146,1,barang sesuai iklan iklam ram asli isi nya kembali barang a
147,1,packing bagus sik barang ok sesuai gambar sayang kecewa huft
148,1,barang terima packing kayu pas terima buka barang pecah remote
149,1,usaha kankenapa cs nya lambat banget yah respon nyabutuh solusitv hidup nyala lampu indikator merah sebentarkecewa kecewa
150,1,barang tuju ko remot y fungsi sih televisi y donk tolong lazada nic kecewa banget beli batu fungsi remot y
151,1,paket sayang televisi gambar lampu standby menyalasungguh kecewa sesuai harap kembali tolong bantu
152,1,barang buka pecah mohon bantu solusi kembali
153,1,sekrup kaki besar masuk komplain lazada diauruh telepon servis center xiaomi telepon xiaomi servis center suruh lapor via email servis dot id at xiaomicom email jumat mei balas
154,1,barang cepat banget sampenyaqualitas ok dehsukses lazada
155,1,televisi nya restart an dibalikin ganti kah
156,1,kecewa remot berfungsimasa pakai remot hp android return barang tindak lanjutnyalomplen cs tunggu haritolong ganti remot nya
157,1,bonus langgan iflix dapet lazada dapet tulis dapet bonus iflix deh belanja xiaomi lazada kasih ngapain tulis dapet bonus langgan iflix
158,1,android ready diupdate
159,1,remote televisi nya mati pakai ajuin kembali sempet telepon am kurir bilangny tarik unit barang pick up vendor televisi nya tolong jual bantu follow up
160,1,barang test hidup power langsung matibarang rusak jual
161,1,kirim sesuai prediksi televisi nya made in jawa import batam posisi kirim nya balik lihat gambar fragile nya moga fungsi nyala
162,1,smart televisi standart nanggung nya nyari smart televisi dongle ribet pakai internet xiomi smart goblok
163,1,komplain barang cacat
164,1,baris pre order rugi lazada order kirim cepat pre order sistem lazada otak komplain via chat solusi cs balas chat sumpah xiaomi kerjasama usaha kaya tolong tanggung tangan pre order nongol kasih terang via chat kendala jual lha order langsung kirim asli tangan profesional banget kali bilang pre order lazada datengnya dahulu order logika aneh lazada ecommerce tanggung ngurus emang salah maaf buyer pre order rugi coba ajar tanggung kerja
165,1,tunggu jawabannyaini televisi coba pindah gar minus layar minus tukar
166,1,ganti nih pas pasang ko kaya sih
167,1,pelit beli pakai akun boneka tokopedia jahatttt
168,1,tvnya cacat pabrik tanggung lazada
169,1,terima taapi buka tau dalam kardus kondisi tvnya free ongkir sih free ongkir
170,1,t
171,1,paket terima mohon koreksi
172,1,rusak panel kembali lazadanya minimal servis coocaa resmi mohon tanggap
173,1,dinyalain langsung matisuara gambar adasaya refund min
174,1,audio pakai aux mm mode hdmi suara bocor mode atv pakai speaker tambah mode dtv m volume up keras suara televisi sinkron speaker barang kembali
175,1,pes model dvbkok terima dtvgk pogram dvb
176,1,barang terima
177,1,ganti rugi barang rumah pecah
178,1,rusak fisik layar led pecah baret prtama beli kaya gni sesal moga proses refund jalan lancar tau fragile dipacking kayu
179,1,barang packing kayu cek kecewa layar nya bayangbayangan hijau kartu garansi jufa tolong biar tukar unit kembali uang
180,1,unbox tes gar urus garansi ribet banget banget banget servis center jakarta daerah tele coocaa orange jual online sales nya buruk garansi tulis sperti nya
