,rating,reviewContent,teks_setelah_prep
0,jelek,bima,bima
1,jelek,baru 10 bulan layarnya dah bergaris,layar gar
2,jelek,"Mau tanya ini cicilnya pake apa ya,cc bkn?",cicil pakai yacc
3,jelek,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,kirim barang sesuai janji express jumat barang rabu moga barang awet
4,jelek,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",televisi led merek sharp hitam lc lei mati total mana hubung bantu mohon bijak solusi garansi lazada mohon bantu terimakasih
5,jelek,Sudah cape2 transfer tapi pesanan ditolak,capek transfer pesan tolak
6,jelek,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",laptop milik spesifikasi bagus harga jangkau tab spesifikasi utama produk emang intel core i salah judul core i
7,jelek,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,barang pas dinyalain tanggung lazada
8,jelek,untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,pasang tembok lazada memasanga terima kasih
9,jelek,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,kapasitasy bagusss aturany kosong bnyakkk firusss nieh bnyakkk firusss kecewe
10,jelek,kampret kaga kebaca!!,kampret baca
11,jelek,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",barang kemas lindung apa dus televisi lihat dus sobek curiga kayak pecah eeeeellllaaaa pas buka pecah beneran bad jual bener bener bad jual untung peduli produk untung n pelit paking ya jual barang retur mudah mudah barang cepat kirim d
12,jelek,Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,beli disiniparah bangetbarang mi ggu alesan nya ganggu lain
13,jelek,hati hati ini tv ga bisa pake USB,hati hati televisi pakai usb
14,jelek,Ini spek ram.nya 2GB atau 4GB,spek ram gb gb
15,jelek,"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",juragan saran berhatihati beli flashdisk kirim flashdisk rekondisi daur ulang bekas tipu harga mas dosa mas bohong flashdisknya tulis nama aryo sengaja hapus bersih file kirim flashdisk error makan duit haram mas kenyang berkah
16,jelek,Palsu,palsu
17,jelek,"korup terus klo di copy ke fd,mengecewakan",korup copy fdmengecewakan
18,jelek,Mau cicilan gmn caranya6,cicil
19,jelek,"barang belum terima....pihak lazada bilang sidah diterima. cek di JNE lhoksukon aceh utara barang tidak ada...ada masalah, petigasnya tdk ramah, dan tdk ada solusk. mana yg benar. email ke CS JNE sama CS Lazada tdk ada reapon. bagaimana nasih barang saya harga 1 jt an",barang terimapihak lazada bilang sidah terima cek jne lhoksukon aceh utara barang adaada tigas ramah solusk email cs jne cs lazada reapon nasih barang harga jt an
20,jelek,"Gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive,,,,mohon penjelasannya,,barang sdh saya buka.....saya br x ini kecewa",nih lazada lihat iklan flashdisk kirim koq flashdrivemohon penjelasannyabarang bukasaya br x kecewa
21,jelek,Barang saya ko gaada ya? Padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah? Mohon diperiksa kembali.. saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang..,barang ko ya alamat bener cek situs jnenya alamat tuju salah mohon periksa beli barang bebarengan beli barang
22,jelek,"flashdisk 64gb tpi isi cm 2gb,gk bs dipakai",flashdisk gb isi cm gbgk pakai
23,jelek,Tidak bisa berfungsi menyimpan data,fungsi simpan data
24,jelek,"Barang tidak pernah sampai yg hitam,yg putih ga bisa dipake",barang hitamyg putih pakai
25,jelek,"Pengiriman lama, warna yang dateng putih bukan hitam",kirim warna putih hitam
26,jelek,"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH",pesan sesuai kirim warna pesan hitam dikirm putih pakai labtop anak tidah yah
27,jelek,"Flashdisk saat dicopy file yg kebaca setengah doang,  ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli",flashdisk dicopy file baca beli tipu garansi hati hati beli
28,jelek,"Ketika barang datang, masih di luar kota. 2 minggubkemudian baru cek barang. Dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 GB, sedangkan di Flashdisk memang tertulis 64 GB. Setelah dicoba untuk kopi file, ternyata banyak yang failed. Dan yang berhasil dikopi ternyata juga tidak dapat dibuka. Sepertinya ini hanyalah produk gagal buatan OEM yang dibuat asal-asalan untuk dijual murah. Dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara.",barang kota minggubkemudian cek barang muncul bungkus tulis toshiba kapasitas gb flashdisk tulis gb coba kopi file gagal hasil kopi buka produk gagal buat oem asalasalan jual murah toko lanjur beli usaha jual
29,jelek,rusak gk bisa dipakai 😢 kapok,rusak pakai kapok
30,jelek,Ga bisa dipakai...,pakai
31,jelek,Barangnya lama sekali,barang
32,jelek,"produk jauh dari yang diharapkan, sangat kecewa.",produk harap kecewa
33,jelek,Kok dapet nya warna biru,dapet nya warna biru
34,jelek,Saya pesan uang sdah d transfer tapi barng tdk sampai,pesan uang d transfer barng
35,jelek,Klu cicilan gmn cranya yah,cicil cranya yah
36,jelek,Tidak bisa di kurangi ya biar jadi 1.000000,kurang ya biar
37,jelek,Ini bayar di tempat apa tidak?,bayar
38,jelek,Caranya gmn ya,ya
39,jelek,"Ditulis khusus jabodetabek,tp tersedia diwilyah lampung... dibeli tp dicancel krn diluar daerah. Klo gk bisa harusnya dtulis tdk tersedia diwil.anda..",tulis khusus jabodetabektp sedia diwilyah lampung beli dicancel luar daerah dtulis sedia diwilanda
40,jelek,Bisa kiri. Ke kota blitar tidak?!,kiri kota blitar
41,jelek,"TV nya sudah datang alhamdulillah, amin.",televisi nya alhamdulillah amin
42,jelek,virus shortcut,virus shortcut
43,jelek,"2bulan pake crashed, pdhl ga prnah jatoh",pakai crashed jatuh
44,jelek,"Ini cuman My Passport biasa, bukan My Passport ULTRA, tulis deskripsi yang bener ya...",my passport my passport ultra tulis deskripsi bener ya
45,jelek,tidak sesuai gambar,sesuai gambar
46,jelek,"3 kali cicilan,maksudnya 3 bln ya,persyaratan untuk kredit apa aja ya.",kali cicilanmaksudnya yapersyaratan kredit ya
47,jelek,"Udah hampir 2 minggu barang belum jg nyampe.order tgl 27 april 2017,status pesanan masi aja dlm proses.gmana ni lazada?",minggu barang nyampeorder tanggal april status pesan prosesgmana ni lazada
48,jelek,"Mohon bantuan nya, kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang, mohon diperhatikan ! Terima kasih",mohon bantu nya barang bom tunggu kunjung mohon perhati terima kasih
49,jelek,Tidak bisa menyimpan data,simpan data
50,jelek,Karna tidak bisa nyimpan film dan data,nyimpan film data
51,jelek,Sya mau kembaliin produk TV ichico by yg kmrn yg psen trnyata pas smpai di rmh gambar ny ga ada suarany ad,kembaliin produk televisi ichico by kemarin psen pas rumah gambar ny suarany
52,jelek,USB nya cm pormalitas doang gx bs d gunakn,usb nya cm pormalitas d gunakn
53,jelek,Knapa pesanan sayadi batalkan??,pesan sayadi batal
54,jelek,Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...,kecewa banget sih tranfer batalin barang nya sih lazada
55,jelek,Dd,dd
56,jelek,Flashdisk nya cepat rusak cuman bisa nyimpan beberapa film saja gimana ni,flashdisk nya cepat rusak nyimpan film ni
57,jelek,Os sudah terisi kan. Kalau sdh pakai os win berapa gan?,os isi pakai os menang juragan
58,jelek,kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...,pesan mostnya dikasihsaya rugi
59,jelek,Mau tanya bagaimana pesanan saya .. notifikasi di akun barang sudah sampai tapi hari ini saya belom terima padahal pengirimannya pake gojek tolong di cek kembali ...,pesan notifikasi akun barang bom terima kirim pakai gojek tolong cek
60,jelek,Baru berapa bulan tv mati gak jelas.,televisi mati
61,jelek,Bagi Yang Minat Order/Pesan Barang Kami.Untuk Lebih Lanjut Silakan add Whatsapp/WA 085342633687 Langsung Dari Resseller Toko...pengirima free ongkir se indonesia.Terimah Kasih...!!!,minat orderpesan barang kamiuntuk sila add whatsappwa langsung resseller tokopengirima free ongkir indonesiaterimah kasih
62,jelek,"Bagi Yang Minat Order/Pesan Barang Kami, Untuk Lebih Memastikan Silahkan Add WhatsApp/WA 085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",minat orderpesan barang silah add whatsappwa langsung reseller tokoterimah kasih
63,jelek,Masa sya pesen 9agustus kode voc ia gx bisa d pake trus gmna ni penanganan ia mkcy,pesan agustus kode voc d pakai ni tangan mkcy
64,jelek,Kalo cicilan syarat y ap saja...,cicil syarat y ap
65,jelek,"Kami menggunakan windows 10 sedangkan  yang dikirim adalah produk untuk windows dibawahnya, dan kamipun sudah mencoba untuk masuk ke windows 7 namun tetap tidak bisa digunakan, kami minta pengembalian dana saja. karna ternyata produk ini tidak sesuai harapan kami.",windows kirim produk windows bawah kami coba masuk windows kembali dana produk sesuai harap
66,jelek,"klo baca ulasan jadi ragu mo beli barang kaya gini,takut rusak saat pengiriman.takut ga d kirim kirim.sebenarnya saya sih sering beli d lazada.selama ini sih masih oke oke aja.tolong dong lazada jangan kecewain pelanggan.klo ada keluhan cepat respon.",baca ulas ragu beli barang kaya ginitakut rusak pengirimantakut d kirim kirimsebenarnya sih beli d lazadaselama sih oke oke ajatolong lazada kecewain pelangganklo keluh cepat respon
67,jelek,Paaaaaaarah,paaaaaaarah
68,jelek,Liat-liat dulu om...,liatliat om
69,jelek,Barang bagus namun Saya kurang keroscek Sebelum memesan ternyata itu bukan hardist cuman hanya Chasing doang itu kesalahan saya... makasih,barang bagus keroscek mes hardist chasing salah terimakasih
70,jelek,barang tidak bisa digunakan sebagaimana fungsinya,barang fungsi
71,jelek,"Mau tanya., ini hardist atau bukn??",hardist bukn
72,jelek,kesingdoang,kesingdoang
73,jelek,"Kok saya tunggu dari kemarin2 belum datang,,,",tunggu kemarin
